siteID,depMEAN_NO2__Plume,depMEAN_VOC__Plume,depMEAN_pm_10__Plu,depMEAN_pm_1__Plum,depMEAN_pm_2_5__Pl,siteID_INT,p_XCOORD,p_YCOORD,pG_tri_raster_val,pG_slope_raster_val,pG_hw_raster_val,pG_hs_raster_val,pG_rr_raster_val,pD_parkd_none_dist,pD_waterd_none_dist,pG_park_raster_val,pG_waterd_raster_val,pG_elev_raster_val,pD_soundd_none_dist,pF_trid_none_dist,pE_hwd_none_dist,pE_hsd_none_dist,pE_rrd_none_dist
249,21.0,0.0,3.0,3.0,4.0,249,1139482.1527668834,702745.2330782264,0.0,0.46437570452690125,2.0,9.0,0.0,1584.6944484274013,1718.5423827867978,12.0,5.0,93.79508209228516,8955.410852624622,11018.194477582463,2601.5058153793243,10.9127239005061,8909.799717082307
250,27.0,1.0,3.0,3.0,4.0,250,1142199.9114389718,702676.6406957209,0.0,1.4503601789474487,2.0,8.0,0.0,170.83376951776768,910.0758463650118,11.0,3.0,99.25686645507812,11604.115299948895,8923.475175861848,155.45271959774152,162.82592059362608,8544.660969842134
251,21.0,0.0,3.0,3.0,4.0,251,1138675.2163886428,702768.4423493892,0.0,0.3628893196582794,2.0,9.0,0.0,2358.5329428522723,2438.005737638344,12.0,4.0,93.91773986816406,8174.569267929043,11691.301359171373,3292.2858235946483,20.839402173925222,8131.011619044996
252,28.0,1.0,3.0,3.0,4.0,252,1144188.2092996389,702629.4478767216,0.0,0.8825053572654724,2.0,6.0,0.0,55.26975340806626,1052.6947651380876,12.0,3.0,96.81128692626953,13558.844186420381,7405.769819692172,954.5046814599854,16.43637481498931,7153.3490396092375
253,23.0,0.0,36.0,3.0,5.0,253,1138868.6950042993,702765.3111220598,0.0,0.3891095817089081,2.0,9.0,0.0,2170.225088827178,2311.980673447508,12.0,5.0,94.48971557617188,8360.788494668166,11529.721695788408,3129.3164035163445,20.905765291594207,8316.523697831257
254,29.0,1.0,3.0,3.0,4.0,254,1150465.3138713837,702473.6066529751,5.0,0.6636674404144287,3.0,6.0,4.0,1935.3314066083406,1412.3086470371932,6.0,4.0,111.50849914550781,9855.33783308009,3634.910810870065,2432.4370202807427,5.463514866451935,3858.990083150181
255,32.0,1.0,3.0,3.0,4.0,255,1143886.329325974,702639.652908802,0.0,1.9457275867462158,2.0,6.0,0.0,53.71913175809585,1044.64168117743,12.0,3.0,104.9140396118164,13260.80661706481,7671.7352462129675,652.4995543571619,17.770285017514734,7367.346851288008
256,26.0,1.0,3.0,3.0,4.0,256,1148157.5255079716,702532.2026643902,1.0,0.2998882234096527,2.0,6.0,2.0,1018.9854155635677,2503.1919309406144,9.0,5.0,112.45450592041016,12150.011669921776,4400.293411978281,2665.4186200205377,20.428640986091995,4683.814738654006
257,21.0,1.0,3.0,3.0,4.0,257,1140926.6039462239,702719.6530768871,0.0,0.21387502551078796,2.0,8.0,0.0,244.94565585944022,452.7544391568714,10.0,6.0,91.65581512451172,10355.987996559134,9874.211964296182,1308.0859027109216,1168.1597892227783,9446.449718324242
258,26.0,1.0,3.0,3.0,4.0,258,1154127.5608119667,702387.809908554,5.0,1.0281469821929932,4.0,5.0,7.0,67.13693798907978,3557.6701439153658,12.0,3.0,119.5157699584961,6200.052729211726,3700.8910809308695,1232.0313972116999,1232.0313972116999,3504.9486909691514
259,28.0,1.0,3.0,3.0,4.0,259,1149057.5243641436,702514.3467289805,1.0,0.31249329447746277,2.0,6.0,3.0,1044.7813522599104,1868.968281203916,9.0,5.0,109.66783905029297,11255.052187511006,3966.4903514708403,2786.253007970373,19.210549097634615,4306.999989350473
260,21.0,1.0,21.0,3.0,4.0,260,1146071.0900482982,702589.495856896,0.0,2.5384674072265625,2.0,7.0,0.0,203.2981300219923,477.42906680543973,8.0,5.0,101.064453125,13418.000639793303,5842.023761060906,2837.574806745678,10.128618994491955,5865.493991599763
